game_id,espn_game_id,game_uid,season,season_type,date,week,home_away,winner,team_id,team_uid,team_city,team_name,team_abbr,team_full,team_color,team_color_alt,team_logo,team_order,team_score,team_record,pass_att,pass_cmp,pass_yds,pass_avg,pass_td,pass_int,pass_sacks,pass_sack_yds,pass_qbr,pass_rtg,rush_att,rush_yds,rush_avg,rush_td,rush_long,rec_total,rec_yds,rec_avg,rec_td,rec_long,rec_tgts,fum_total,fum_lost,fum_rec,def_tkl,def_solo_tkl,def_sacks,def_tfl,def_pd,def_qb_hts,def_td,int_total,int_yds,int_td,kick_ret_no,kick_ret_yds,kick_ret_avg,kick_ret_long,kick_ret_td,punt_ret_no,punt_ret_yds,punt_ret_avg,punt_ret_long,punt_ret_td,kick_fg_made,kick_fg_att,kick_fg_pct,kick_long,kick_xp_made,kick_xp_att,kick_pts,punt_no,punt_yds,punt_avg,punt_tb,punt_in_20,punt_long,first_downs,pass_1st_downs,rush_1st_downs,first_downs_from_penalties,third_down_conv,third_down_att,fourth_down_conv,fourth_down_att,total_plays,total_yards,yards_per_play,total_drives,redzone_att,redzone_conv,penalties,pen_yards,turnovers,def_sp_tds,possess_time,current,wallclockAvailable,guid,boxscoreMinutes,gameNote
2025_01_DAL_PHI,401772510,s:20~l:28~e:401772510,2025,2,2025-09-05T00:20Z,1,away,0,6,s:20~l:28~t:6,Dallas,Cowboys,DAL,Dallas Cowboys,002a5c,b0b7bc,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,1,20,0-1,21,34,188,5.5,0,0,0,0,NA,76.6,22,119,5.4,2,49,21,188,9,0,32,33,1,1,0,70,38,1,5,0,5,0,NA,NA,NA,5,101,20.2,27,0,NA,NA,NA,NA,NA,2,2,100,53,2,2,8,2,87,43.5,0,1,49,22,9,7,6,7,11,0,1,56,307,5.5,8,3,2,4,42,1,0,25:08,TRUE,TRUE,b0fc8fb7-9dbe-e574-9008-6f0ee7c6b234,TRUE,NA
2025_01_DAL_PHI,401772510,s:20~l:28~e:401772510,2025,2,2025-09-05T00:20Z,1,home,1,21,s:20~l:28~t:21,Philadelphia,Eagles,PHI,Philadelphia Eagles,06424d,000000,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,0,24,1-0,19,23,144,6.6,0,0,1,8,NA,94.2,38,158,4.2,3,20,19,152,8,0,51,20,0,0,1,60,34,0,3,6,1,0,NA,NA,NA,2,32,16,20,0,NA,NA,NA,NA,NA,1,1,100,58,3,3,6,3,146,48.7,0,2,51,20,6,14,0,8,13,0,0,62,302,4.9,8,3,3,9,110,0,0,34:52,TRUE,TRUE,d1a9b001-1df7-fbd7-ae4c-6ca7065286ec,TRUE,NA
2025_01_KC_LAC,401772714,s:20~l:28~e:401772714,2025,2,2025-09-06T00:00Z,1,away,0,12,s:20~l:28~t:12,Kansas City,Chiefs,KC,Kansas City Chiefs,e31837,ffb612,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,21,0-1,24,39,249,6.6,1,0,2,9,NA,89.5,17,98,5.8,1,15,24,258,10.8,1,49,38,1,0,1,60,42,3,6,2,4,0,NA,NA,NA,5,147,29.4,37,0,2,7,3.5,8,0,3,3,100,59,0,1,9,3,116,38.7,0,1,40,18,9,8,1,5,14,3,3,58,347,6,8,3,1,10,71,0,0,27:16,TRUE,TRUE,f68f2343-8ceb-7a02-740d-af6338be21d2,TRUE,NFL São Paulo Game
2025_01_KC_LAC,401772714,s:20~l:28~e:401772714,2025,2,2025-09-06T00:00Z,1,home,1,24,s:20~l:28~t:24,Los Angeles,Chargers,LAC,Los Angeles Chargers,0080c6,ffc20e,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,0,27,1-0,25,34,304,9.4,3,0,3,14,NA,131.7,25,90,3.6,0,19,25,318,12.7,3,33,34,1,0,0,60,36,2,3,4,8,0,NA,NA,NA,3,67,22.3,25,0,NA,NA,NA,NA,NA,2,2,100,39,3,3,9,2,106,53,0,0,56,22,16,6,0,7,13,1,1,62,394,6.4,8,4,2,6,49,0,0,32:44,TRUE,TRUE,84caf62b-c753-71ea-a787-44fd224a4294,TRUE,NFL São Paulo Game
2025_01_TB_ATL,401772830,s:20~l:28~e:401772830,2025,2,2025-09-07T17:00Z,1,away,1,27,s:20~l:28~t:27,Tampa Bay,Buccaneers,TB,Tampa Bay Buccaneers,bd1c36,3e3a35,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,1,23,1-0,17,32,159,5.2,3,0,1,8,NA,99.4,23,101,4.4,0,20,17,167,9.8,3,30,30,NA,NA,NA,77,43,1,7,6,4,0,NA,NA,NA,3,81,27,35,0,1,54,54,54,0,1,2,50,48,2,3,5,4,205,51.3,0,2,62,16,10,5,1,7,14,1,1,56,260,4.6,10,1,1,5,60,0,0,24:48,TRUE,TRUE,13e8b157-a75a-ff24-ae91-fa3d52ddf204,TRUE,NA
2025_01_TB_ATL,401772830,s:20~l:28~e:401772830,2025,2,2025-09-07T17:00Z,1,home,0,1,s:20~l:28~t:1,Atlanta,Falcons,ATL,Atlanta Falcons,a71930,000000,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,0,20,0-1,27,42,289,7.1,1,0,1,9,NA,93.2,28,69,2.5,1,12,27,298,11,1,50,42,1,0,1,53,28,1,2,7,3,0,NA,NA,NA,5,125,25,29,0,2,29,14.5,17,0,2,3,67,41,2,2,8,3,140,46.7,0,2,59,23,16,4,3,6,15,3,4,71,358,5,10,2,1,8,55,0,0,35:12,TRUE,TRUE,49fd392a-86fe-4df3-1b77-9bbfa18b2ad5,TRUE,NA
2025_01_CIN_CLE,401772829,s:20~l:28~e:401772829,2025,2,2025-09-07T17:00Z,1,away,1,4,s:20~l:28~t:4,Cincinnati,Bengals,CIN,Cincinnati Bengals,fb4f14,000000,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,17,1-0,14,23,95,4.9,1,0,3,18,NA,87.8,23,46,2,1,8,14,113,8.1,1,20,23,NA,NA,NA,86,44,2,4,6,5,0,2,9,0,3,70,23.3,29,0,1,23,23,23,0,1,1,100,35,2,2,5,6,316,52.7,2,1,62,11,7,3,1,7,14,0,0,49,141,2.9,10,3,2,7,33,0,0,24:11,TRUE,TRUE,75b8623b-8926-b411-0476-3d3602b78523,TRUE,NA
2025_01_CIN_CLE,401772829,s:20~l:28~e:401772829,2025,2,2025-09-07T17:00Z,1,home,0,5,s:20~l:28~t:5,Cleveland,Browns,CLE,Cleveland Browns,472a08,ff3c00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,0,16,0-1,31,45,278,6.4,1,2,2,12,NA,75.2,24,49,2,1,5,31,290,9.4,1,25,42,NA,NA,NA,57,35,3,8,5,7,0,NA,NA,NA,4,105,26.3,29,0,3,41,13.7,15,0,1,2,50,45,1,2,4,2,97,48.5,1,0,55,22,13,5,4,9,16,2,3,71,327,4.6,10,3,2,7,53,2,0,35:49,TRUE,TRUE,539babc5-e5fb-753b-8ae1-c15032a91ef4,TRUE,NA
2025_01_MIA_IND,401772719,s:20~l:28~e:401772719,2025,2,2025-09-07T17:00Z,1,away,0,15,s:20~l:28~t:15,Miami,Dolphins,MIA,Miami Dolphins,008e97,fc4c02,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,8,0-1,19,31,133,4.7,1,2,3,13,NA,56.7,12,78,6.5,0,26,19,146,7.7,1,21,31,1,1,0,82,47,1,4,4,2,0,NA,NA,NA,7,169,24.1,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,42,42,0,1,42,12,9,3,0,5,10,1,2,46,211,4.6,7,1,1,3,15,3,0,21:17,TRUE,TRUE,af33088b-1e19-d27d-dbc0-354fd7151703,TRUE,NA
2025_01_MIA_IND,401772719,s:20~l:28~e:401772719,2025,2,2025-09-07T17:00Z,1,home,1,11,s:20~l:28~t:11,Indianapolis,Colts,IND,Indianapolis Colts,003b75,ffffff,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,0,33,1-0,22,29,262,9.4,1,0,1,10,NA,115.9,40,156,3.9,2,15,22,272,12.4,1,36,29,0,0,1,52,28,3,4,5,6,0,2,20,0,1,27,27,27,0,NA,NA,NA,NA,NA,4,4,100,48,3,3,15,NA,NA,NA,NA,NA,NA,27,14,11,2,7,15,3,3,70,418,6,7,6,3,4,45,0,0,38:43,TRUE,TRUE,582d14eb-da61-e505-cc40-d972a1b60ed1,TRUE,NA
2025_01_CAR_JAX,401772828,s:20~l:28~e:401772828,2025,2,2025-09-07T17:00Z,1,away,0,29,s:20~l:28~t:29,Carolina,Panthers,CAR,Carolina Panthers,0085ca,000000,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,1,10,0-1,18,35,142,4.4,1,2,1,12,NA,49,25,113,4.5,0,22,18,154,8.6,1,27,34,1,1,0,62,42,0,1,4,1,0,1,10,0,2,43,21.5,27,0,2,0,0,0,0,1,1,100,48,1,1,4,2,86,43,0,2,56,15,8,5,2,8,15,0,2,61,255,4.2,10,1,0,4,35,3,0,29:00,TRUE,TRUE,647c27bf-ab86-550e-5b83-91c29e73e4a9,TRUE,NA
2025_01_CAR_JAX,401772828,s:20~l:28~e:401772828,2025,2,2025-09-07T17:00Z,1,home,1,30,s:20~l:28~t:30,Jacksonville,Jaguars,JAX,Jacksonville Jaguars,007487,d7a22a,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,0,26,1-0,19,31,178,5.7,1,1,0,0,NA,74.4,32,200,6.3,1,71,19,178,9.4,1,24,29,0,0,1,61,29,1,2,10,5,0,2,0,0,2,32,16,20,0,1,7,7,7,0,4,4,100,47,2,2,14,2,111,55.5,0,1,57,19,9,10,0,5,12,2,2,63,378,6,10,5,2,11,93,1,0,31:00,TRUE,TRUE,ca6fb778-cbf6-d9a3-3e93-01230335fcab,TRUE,NA
2025_01_LV_NE,401772720,s:20~l:28~e:401772720,2025,2,2025-09-07T17:00Z,1,away,1,13,s:20~l:28~t:13,Las Vegas,Raiders,LV,Las Vegas Raiders,000000,a5acaf,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,20,1-0,24,34,333,10.6,1,1,4,29,NA,102.8,24,56,2.3,1,11,24,362,15.1,1,38,33,NA,NA,NA,76,42,4,6,4,9,0,1,0,0,3,96,32,34,0,1,13,13,13,0,2,3,67,51,2,2,8,5,249,49.8,2,0,60,21,17,3,1,5,13,1,1,62,389,6.3,12,1,1,9,77,1,0,29:55,TRUE,TRUE,b18540eb-6f2b-534c-e7f9-9bd930518da9,TRUE,NA
2025_01_LV_NE,401772720,s:20~l:28~e:401772720,2025,2,2025-09-07T17:00Z,1,home,0,17,s:20~l:28~t:17,New England,Patriots,NE,New England Patriots,002a5c,c60c30,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,0,13,0-1,30,46,276,6.2,1,1,4,11,NA,80.6,18,60,3.3,0,14,30,287,9.6,1,27,45,1,0,1,71,41,4,10,5,9,0,1,1,0,4,111,27.8,41,0,2,16,8,9,0,2,3,67,44,1,1,7,6,244,40.7,0,2,59,18,15,2,1,4,14,1,1,68,336,4.9,11,3,1,8,70,1,0,30:05,TRUE,TRUE,0078f353-fe3e-67ed-a42c-43cca0568e21,TRUE,NA
2025_01_ARI_NO,401772718,s:20~l:28~e:401772718,2025,2,2025-09-07T17:00Z,1,away,1,22,s:20~l:28~t:22,Arizona,Cardinals,ARI,Arizona Cardinals,a40227,ffffff,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,1,20,1-0,21,29,130,5.6,2,0,5,33,NA,108.8,27,146,5.4,0,52,21,163,7.8,2,45,29,NA,NA,NA,74,38,1,3,10,2,0,NA,NA,NA,3,73,24.3,29,0,3,30,10,23,0,2,3,67,50,2,2,8,4,188,47,0,1,60,19,11,5,3,6,13,0,0,61,276,4.5,9,3,2,9,54,0,0,33:46,TRUE,TRUE,8fc7b962-95e1-3cb8-6a7d-b499de9ad546,TRUE,NA
2025_01_ARI_NO,401772718,s:20~l:28~e:401772718,2025,2,2025-09-07T17:00Z,1,home,0,18,s:20~l:28~t:18,New Orleans,Saints,NO,New Orleans Saints,d3bc8d,000000,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,0,13,0-1,27,46,208,4.7,0,0,1,6,NA,70.4,22,107,4.9,1,18,27,214,7.9,0,21,41,NA,NA,NA,70,43,5,7,5,5,0,NA,NA,NA,5,128,25.6,43,0,2,18,9,11,0,2,3,67,36,1,1,7,4,202,50.5,0,2,54,21,12,5,4,5,14,1,2,69,315,4.6,10,4,1,13,89,0,0,26:14,TRUE,TRUE,97d2f6c9-2f22-459c-306a-046941ccab2a,TRUE,NA
